Order Date,Sneaker Name,Sale Price
9/7/2017,Adidas Yeezy Boost 350 Low Moonrock,1230
9/26/2017,Adidas Yeezy Boost 350 Low Moonrock,1257
10/4/2017,Adidas Yeezy Boost 350 Low Moonrock,1000
10/12/2017,Adidas Yeezy Boost 350 Low Moonrock,1250
10/13/2017,Adidas Yeezy Boost 350 Low Moonrock,1250
10/16/2017,Adidas Yeezy Boost 350 Low Moonrock,1037
10/20/2017,Adidas Yeezy Boost 350 Low Moonrock,1113
10/30/2017,Adidas Yeezy Boost 350 Low Moonrock,1050
11/7/2017,Adidas Yeezy Boost 350 Low Moonrock,1400
11/10/2017,Adidas Yeezy Boost 350 Low Moonrock,1140
11/27/2017,Adidas Yeezy Boost 350 Low Moonrock,1050
11/27/2017,Adidas Yeezy Boost 350 Low Moonrock,1201
12/5/2017,Adidas Yeezy Boost 350 Low Moonrock,1000
12/17/2017,Adidas Yeezy Boost 350 Low Moonrock,1155
12/18/2017,Adidas Yeezy Boost 350 Low Moonrock,1101
12/29/2017,Adidas Yeezy Boost 350 Low Moonrock,1050
1/4/2018,Adidas Yeezy Boost 350 Low Moonrock,1150
1/12/2018,Adidas Yeezy Boost 350 Low Moonrock,1050
1/14/2018,Adidas Yeezy Boost 350 Low Moonrock,1000
1/19/2018,Adidas Yeezy Boost 350 Low Moonrock,1140
1/20/2018,Adidas Yeezy Boost 350 Low Moonrock,1350
1/22/2018,Adidas Yeezy Boost 350 Low Moonrock,1140
1/29/2018,Adidas Yeezy Boost 350 Low Moonrock,1600
2/8/2018,Adidas Yeezy Boost 350 Low Moonrock,1136
2/12/2018,Adidas Yeezy Boost 350 Low Moonrock,970
2/15/2018,Adidas Yeezy Boost 350 Low Moonrock,999
2/16/2018,Adidas Yeezy Boost 350 Low Moonrock,1050
2/21/2018,Adidas Yeezy Boost 350 Low Moonrock,1025
2/24/2018,Adidas Yeezy Boost 350 Low Moonrock,1000
3/16/2018,Adidas Yeezy Boost 350 Low Moonrock,1050
4/3/2018,Adidas Yeezy Boost 350 Low Moonrock,1000
4/5/2018,Adidas Yeezy Boost 350 Low Moonrock,1000
4/7/2018,Adidas Yeezy Boost 350 Low Moonrock,2000
4/12/2018,Adidas Yeezy Boost 350 Low Moonrock,951
4/15/2018,Adidas Yeezy Boost 350 Low Moonrock,1240
4/21/2018,Adidas Yeezy Boost 350 Low Moonrock,1150
4/30/2018,Adidas Yeezy Boost 350 Low Moonrock,1100
5/1/2018,Adidas Yeezy Boost 350 Low Moonrock,810
5/4/2018,Adidas Yeezy Boost 350 Low Moonrock,1044
5/19/2018,Adidas Yeezy Boost 350 Low Moonrock,1014
5/23/2018,Adidas Yeezy Boost 350 Low Moonrock,1005
5/30/2018,Adidas Yeezy Boost 350 Low Moonrock,1034
5/31/2018,Adidas Yeezy Boost 350 Low Moonrock,900
5/31/2018,Adidas Yeezy Boost 350 Low Moonrock,980
6/12/2018,Adidas Yeezy Boost 350 Low Moonrock,1025
6/15/2018,Adidas Yeezy Boost 350 Low Moonrock,905
6/16/2018,Adidas Yeezy Boost 350 Low Moonrock,900
6/20/2018,Adidas Yeezy Boost 350 Low Moonrock,900
6/20/2018,Adidas Yeezy Boost 350 Low Moonrock,870
6/26/2018,Adidas Yeezy Boost 350 Low Moonrock,875
6/27/2018,Adidas Yeezy Boost 350 Low Moonrock,1000
6/30/2018,Adidas Yeezy Boost 350 Low Moonrock,876
7/1/2018,Adidas Yeezy Boost 350 Low Moonrock,910
7/5/2018,Adidas Yeezy Boost 350 Low Moonrock,940
7/10/2018,Adidas Yeezy Boost 350 Low Moonrock,914
7/11/2018,Adidas Yeezy Boost 350 Low Moonrock,902
7/24/2018,Adidas Yeezy Boost 350 Low Moonrock,924
7/25/2018,Adidas Yeezy Boost 350 Low Moonrock,949
7/29/2018,Adidas Yeezy Boost 350 Low Moonrock,907
7/31/2018,Adidas Yeezy Boost 350 Low Moonrock,1248
8/1/2018,Adidas Yeezy Boost 350 Low Moonrock,910
8/6/2018,Adidas Yeezy Boost 350 Low Moonrock,900
8/7/2018,Adidas Yeezy Boost 350 Low Moonrock,922
8/13/2018,Adidas Yeezy Boost 350 Low Moonrock,1200
8/17/2018,Adidas Yeezy Boost 350 Low Moonrock,909
8/25/2018,Adidas Yeezy Boost 350 Low Moonrock,893
8/26/2018,Adidas Yeezy Boost 350 Low Moonrock,1030
9/9/2018,Adidas Yeezy Boost 350 Low Moonrock,850
9/11/2018,Adidas Yeezy Boost 350 Low Moonrock,1095
9/14/2018,Adidas Yeezy Boost 350 Low Moonrock,890
9/21/2018,Adidas Yeezy Boost 350 Low Moonrock,885
9/24/2018,Adidas Yeezy Boost 350 Low Moonrock,861
10/1/2018,Adidas Yeezy Boost 350 Low Moonrock,900
10/24/2018,Adidas Yeezy Boost 350 Low Moonrock,872
10/31/2018,Adidas Yeezy Boost 350 Low Moonrock,960
11/1/2018,Adidas Yeezy Boost 350 Low Moonrock,801
11/23/2018,Adidas Yeezy Boost 350 Low Moonrock,730
11/26/2018,Adidas Yeezy Boost 350 Low Moonrock,874
11/26/2018,Adidas Yeezy Boost 350 Low Moonrock,770
11/28/2018,Adidas Yeezy Boost 350 Low Moonrock,964
12/3/2018,Adidas Yeezy Boost 350 Low Moonrock,778
12/8/2018,Adidas Yeezy Boost 350 Low Moonrock,760
12/12/2018,Adidas Yeezy Boost 350 Low Moonrock,745
12/14/2018,Adidas Yeezy Boost 350 Low Moonrock,930
12/15/2018,Adidas Yeezy Boost 350 Low Moonrock,875
12/16/2018,Adidas Yeezy Boost 350 Low Moonrock,830
12/17/2018,Adidas Yeezy Boost 350 Low Moonrock,800
12/19/2018,Adidas Yeezy Boost 350 Low Moonrock,920
12/21/2018,Adidas Yeezy Boost 350 Low Moonrock,800
12/31/2018,Adidas Yeezy Boost 350 Low Moonrock,1026
1/2/2019,Adidas Yeezy Boost 350 Low Moonrock,884
1/2/2019,Adidas Yeezy Boost 350 Low Moonrock,800
1/11/2019,Adidas Yeezy Boost 350 Low Moonrock,1000
1/17/2019,Adidas Yeezy Boost 350 Low Moonrock,760
1/25/2019,Adidas Yeezy Boost 350 Low Moonrock,1200
1/26/2019,Adidas Yeezy Boost 350 Low Moonrock,800
2/5/2019,Adidas Yeezy Boost 350 Low Moonrock,740
2/6/2019,Adidas Yeezy Boost 350 Low Moonrock,900
2/6/2019,Adidas Yeezy Boost 350 Low Moonrock,830
2/7/2019,Adidas Yeezy Boost 350 Low Moonrock,860
9/11/2017,Adidas Yeezy Boost 350 Low Oxford Tan,1101
9/25/2017,Adidas Yeezy Boost 350 Low Oxford Tan,1299
10/13/2017,Adidas Yeezy Boost 350 Low Oxford Tan,1056
10/13/2017,Adidas Yeezy Boost 350 Low Oxford Tan,1000
10/26/2017,Adidas Yeezy Boost 350 Low Oxford Tan,1222
11/10/2017,Adidas Yeezy Boost 350 Low Oxford Tan,1160
11/21/2017,Adidas Yeezy Boost 350 Low Oxford Tan,970
12/8/2017,Adidas Yeezy Boost 350 Low Oxford Tan,980
12/11/2017,Adidas Yeezy Boost 350 Low Oxford Tan,1001
12/29/2017,Adidas Yeezy Boost 350 Low Oxford Tan,1100
1/2/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1100
1/18/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1261
1/20/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1200
1/22/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1090
1/23/2018,Adidas Yeezy Boost 350 Low Oxford Tan,905
1/28/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1020
1/30/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1136
2/12/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1050
2/15/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1200
2/22/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1470
2/24/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1186
2/27/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1130
3/2/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1139
3/6/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1400
3/12/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1030
3/26/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1070
4/3/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1023
4/17/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1020
4/22/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1090
5/30/2018,Adidas Yeezy Boost 350 Low Oxford Tan,910
5/31/2018,Adidas Yeezy Boost 350 Low Oxford Tan,865
6/2/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1000
6/9/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1100
6/17/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1100
6/23/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1250
6/26/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1350
7/20/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1150
7/25/2018,Adidas Yeezy Boost 350 Low Oxford Tan,995
7/29/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1250
8/11/2018,Adidas Yeezy Boost 350 Low Oxford Tan,830
8/14/2018,Adidas Yeezy Boost 350 Low Oxford Tan,900
9/6/2018,Adidas Yeezy Boost 350 Low Oxford Tan,985
9/11/2018,Adidas Yeezy Boost 350 Low Oxford Tan,900
9/13/2018,Adidas Yeezy Boost 350 Low Oxford Tan,939
9/17/2018,Adidas Yeezy Boost 350 Low Oxford Tan,840
9/26/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1000
10/12/2018,Adidas Yeezy Boost 350 Low Oxford Tan,950
10/14/2018,Adidas Yeezy Boost 350 Low Oxford Tan,876
10/18/2018,Adidas Yeezy Boost 350 Low Oxford Tan,875
10/31/2018,Adidas Yeezy Boost 350 Low Oxford Tan,960
11/4/2018,Adidas Yeezy Boost 350 Low Oxford Tan,856
11/10/2018,Adidas Yeezy Boost 350 Low Oxford Tan,890
11/12/2018,Adidas Yeezy Boost 350 Low Oxford Tan,800
11/13/2018,Adidas Yeezy Boost 350 Low Oxford Tan,781
11/20/2018,Adidas Yeezy Boost 350 Low Oxford Tan,800
11/25/2018,Adidas Yeezy Boost 350 Low Oxford Tan,920
11/26/2018,Adidas Yeezy Boost 350 Low Oxford Tan,741
12/6/2018,Adidas Yeezy Boost 350 Low Oxford Tan,830
12/7/2018,Adidas Yeezy Boost 350 Low Oxford Tan,945
12/10/2018,Adidas Yeezy Boost 350 Low Oxford Tan,850
12/14/2018,Adidas Yeezy Boost 350 Low Oxford Tan,1100
12/15/2018,Adidas Yeezy Boost 350 Low Oxford Tan,855
12/17/2018,Adidas Yeezy Boost 350 Low Oxford Tan,850
12/25/2018,Adidas Yeezy Boost 350 Low Oxford Tan,800
1/11/2019,Adidas Yeezy Boost 350 Low Oxford Tan,863
1/17/2019,Adidas Yeezy Boost 350 Low Oxford Tan,750
1/20/2019,Adidas Yeezy Boost 350 Low Oxford Tan,870
2/2/2019,Adidas Yeezy Boost 350 Low Oxford Tan,1100
2/6/2019,Adidas Yeezy Boost 350 Low Oxford Tan,771
2/8/2019,Adidas Yeezy Boost 350 Low Oxford Tan,1000
9/20/2017,Adidas Yeezy Boost 350 Low Pirate Black 2015,1150
10/5/2017,Adidas Yeezy Boost 350 Low Pirate Black 2015,939
10/8/2017,Adidas Yeezy Boost 350 Low Pirate Black 2015,910
10/10/2017,Adidas Yeezy Boost 350 Low Pirate Black 2015,920
10/13/2017,Adidas Yeezy Boost 350 Low Pirate Black 2015,950
10/13/2017,Adidas Yeezy Boost 350 Low Pirate Black 2015,900
11/9/2017,Adidas Yeezy Boost 350 Low Pirate Black 2015,855
11/11/2017,Adidas Yeezy Boost 350 Low Pirate Black 2015,851
11/21/2017,Adidas Yeezy Boost 350 Low Pirate Black 2015,850
12/14/2017,Adidas Yeezy Boost 350 Low Pirate Black 2015,900
1/1/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,875
1/5/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,925
1/15/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,985
1/16/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,897
1/17/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,815
1/18/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,846
1/19/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,820
1/19/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,950
1/21/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,875
1/22/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,900
1/23/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,840
1/24/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,850
1/27/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,889
1/28/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,930
1/30/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,925
2/1/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,850
2/5/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,960
2/18/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,972
2/20/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,910
2/22/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,835
2/23/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,924
3/6/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,930
3/12/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,1060
3/23/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,1250
3/25/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,1000
3/26/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,870
3/30/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,920
4/1/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,1000
4/6/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,885
4/26/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,900
5/3/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,900
5/16/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,1000
5/19/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,800
5/26/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,830
5/28/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,1300
5/29/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,822
5/30/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,945
5/31/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,854
6/6/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,975
6/17/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,975
7/18/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,865
7/30/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,936
8/8/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,992
8/11/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,799
8/16/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,849
8/21/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,810
8/29/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,959
9/1/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,915
9/2/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,880
9/11/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,725
9/12/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,805
9/18/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,810
9/19/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,850
9/20/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,1150
9/23/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,736
9/24/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,1250
10/5/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,895
10/20/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,850
10/27/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,938
10/30/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,978
10/31/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,775
10/31/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,745
11/10/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,730
11/16/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,825
11/26/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,825
11/26/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,730
11/27/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,890
11/30/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,900
12/5/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,870
12/6/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,795
12/9/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,820
12/13/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,1000
12/15/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,721
12/16/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,800
12/17/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,800
12/20/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,915
12/30/2018,Adidas Yeezy Boost 350 Low Pirate Black 2015,800
1/5/2019,Adidas Yeezy Boost 350 Low Pirate Black 2015,800
1/7/2019,Adidas Yeezy Boost 350 Low Pirate Black 2015,950
1/25/2019,Adidas Yeezy Boost 350 Low Pirate Black 2015,814
1/28/2019,Adidas Yeezy Boost 350 Low Pirate Black 2015,880
2/6/2019,Adidas Yeezy Boost 350 Low Pirate Black 2015,850
2/7/2019,Adidas Yeezy Boost 350 Low Pirate Black 2015,753
2/8/2019,Adidas Yeezy Boost 350 Low Pirate Black 2015,950
2/10/2019,Adidas Yeezy Boost 350 Low Pirate Black 2015,890
9/9/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1100
9/10/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,999
9/12/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1000
9/14/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,985
9/25/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,1455
10/13/2017,Adidas Yeezy Boost 350 Low Pirate Black 2016,951
